,Panel B: Restricted regressions,,,,,,,,,
,,,Restricted (cid:26) ≡ 0,,,,,Restricted (cid:25) ≡ 0,,
,,,(skewness alone),,,,,(kurtosis alone),,
Ticker,(cid:25),t(cid:1)(cid:25)(cid:2),(cid:31),t(cid:1)(cid:31)(cid:2),R2,(cid:26),t(cid:1)(cid:26)(cid:2),(cid:31),t(cid:1)(cid:31)(cid:2),R2
1. AIG,0.71,7(cid:10)22,0.44,7(cid:10)12,45.9,−0(cid:10)12,−3(cid:10)03,0.53,8(cid:10)69,32.5
2. AIT,0.77,4(cid:10)19,0.29,3(cid:10)28,34.2,−0(cid:10)04,−1(cid:10)39,0.37,4(cid:10)19,15.1
3. AN,0.60,2(cid:10)87,0.24,4(cid:10)32,38.9,0(cid:10)00,0(cid:10)09,0.33,4(cid:10)90,10.9
4. AXP,0.32,3(cid:10)85,0.34,3(cid:10)92,43.2,−0(cid:10)02,−2(cid:10)39,0.50,5(cid:10)34,25.9
5. BA,0.88,9(cid:10)16,0.27,4(cid:10)28,65.7,−0(cid:10)05,−2(cid:10)36,0.54,7(cid:10)39,33.5
6. BAC,0.58,10(cid:10)32,0.39,8(cid:10)23,67.0,−0(cid:10)07,−4(cid:10)93,0.57,11(cid:10)05,46.6
7. BEL,0.84,10(cid:10)70,0.29,4(cid:10)38,59.4,−0(cid:10)11,−5(cid:10)32,0.44,5(cid:10)99,36.5
8. BMY,0.91,7(cid:10)17,0.37,7(cid:10)56,70.2,−0(cid:10)09,−3(cid:10)29,0.61,10(cid:10)58,53.2
9. CCI,0.59,10(cid:10)85,0.43,8(cid:10)76,63.2,−0(cid:10)07,−5(cid:10)31,0.57,10(cid:10)16,45.5
10. DD,0.47,7(cid:10)71,0.31,4(cid:10)58,41.2,−0(cid:10)01,−1(cid:10)80,0.44,6(cid:10)08,20.9
11. DIS,0.49,6(cid:10)48,0.52,10(cid:10)67,54.8,0(cid:10)12,0(cid:10)94,0.64,14(cid:10)92,42.4
12. F,0.36,4(cid:10)78,0.47,8(cid:10)45,56.4,−0(cid:10)01,−1(cid:10)09,0.63,14(cid:10)54,40.2
13. GE,0.74,7(cid:10)87,0.49,9(cid:10)83,57.7,−0(cid:10)06,−3(cid:10)30,0.58,11(cid:10)82,38.7
14. GM,0.49,7(cid:10)02,0.45,9(cid:10)01,58.7,−0(cid:10)03,−2(cid:10)81,0.63,13(cid:10)39,41.2
15. HWP,0.41,7(cid:10)14,0.54,9(cid:10)30,59.9,0(cid:10)00,0(cid:10)09,0.69,12(cid:10)67,48.8
16. IBM,0.78,7(cid:10)40,0.54,9(cid:10)16,74.6,0(cid:10)00,0(cid:10)18,0.77,19(cid:10)31,63.7
17. JNJ,0.45,4(cid:10)58,0.44,6(cid:10)99,49.2,−0(cid:10)04,−2(cid:10)74,0.58,10(cid:10)88,37.5
18. KO,0.63,10(cid:10)01,0.25,4(cid:10)00,52.2,−0(cid:10)02,−0(cid:10)88,0.51,7(cid:10)83,29.5
19. MCD,0.61,5(cid:10)97,0.32,4(cid:10)67,50.8,−0(cid:10)04,−3(cid:10)05,0.47,6(cid:10)67,25.8
20. MCQ,0.77,7(cid:10)33,0.19,3(cid:10)15,46.2,−0(cid:10)03,−1(cid:10)32,0.35,4(cid:10)32,13.2
21. MMM,0.70,5(cid:10)78,0.65,8(cid:10)73,46.5,−0(cid:10)03,−1(cid:10)22,0.66,9(cid:10)11,42.2
22. MOB,0.87,8(cid:10)83,0.32,6(cid:10)38,53.2,−0(cid:10)05,−2(cid:10)53,0.48,7(cid:10)80,24.3
23. MRK,0.53,8(cid:10)35,0.58,11(cid:10)36,71.1,−0(cid:10)03,−1(cid:10)80,0.77,13(cid:10)77,58.1
24. NT,0.47,8(cid:10)56,0.28,6(cid:10)61,47.4,−0(cid:10)07,−5(cid:10)89,0.39,6(cid:10)84,28.8
25. PEP,0.66,8(cid:10)58,0.28,5(cid:10)18,56.3,−0(cid:10)04,−3(cid:10)88,0.45,6(cid:10)01,27.8
26. SLB,0.77,6(cid:10)60,0.31,8(cid:10)79,57.2,−0(cid:10)07,−2(cid:10)15,0.52,12(cid:10)71,29.9
27. T,0.65,10(cid:10)53,0.32,6(cid:10)43,67.3,−0(cid:10)07,−5(cid:10)84,0.53,8(cid:10)60,49.3
28. WMT,0.51,11(cid:10)68,0.47,8(cid:10)25,64.8,−0(cid:10)03,−1(cid:10)33,0.68,14(cid:10)83,47.1
29. XON,0.85,7(cid:10)33,0.17,3(cid:10)65,50.4,−0(cid:10)06,−4(cid:10)24,0.35,6(cid:10)95,21.3
30. XRX,0.42,3(cid:10)70,0.51,10(cid:10)18,40.9,−0(cid:10)01,−0(cid:10)59,0.57,12(cid:10)13,33.3
31. OEX,0.69,5(cid:10)38,0.64,9(cid:10)97,71.9,−0(cid:10)06,−3(cid:10)82,0.76,14(cid:10)57,68.7
,"For each of the 30 stocks and the S&P 100, the table reports the results of a time-series regression: SLOPE(cid:1)t(cid:2) = (cid:24)+(cid:25)SKEW(cid:1)t(cid:2)+",,,,,,,,,
,"(cid:26)KURT(cid:1)t(cid:2) + (cid:31)SLOPE(cid:1)t − 1(cid:2) + (cid:29)(cid:1)t(cid:2), where SLOPE(t)",,,,is the (weekly) slope of,,"the smile (i.e.,",the previously computed (cid:28)(cid:1)t(cid:2) in,,
,"Table 3). SKEW(t) and KURT(t) are the risk-neutral skew and kurtosis for each of the 260 weeks in the sample period, January",,,,,,,,,
"1, 1991,","to December 31, 1995. We include SLOPE(t − 1)",,,,to correct,for,the autocorrelation of,,the dependent variable. The,
,method of estimation is OLS. The t-statistics are computed using the Newey–West (with a lag length of 8 weeks) methodology,,,,,,,,,
that corrects for heteroscedasticity and serial correlation. Standard errors with lag length up to 20 are virtually similar. R2 is the,,,,,,,,,,
,coefﬁcient of determination (in %). The reported 2(cid:1)1(cid:2) is the likelihood ratio test statistic for,,,,,,,,the null hypothesis that (cid:26) = 0.,
,The corresponding p value is presented under,,,the column “p value.” Only the results using short-term smiles are shown here.,,,,,,
