col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,0,10.19,14.14,17.94,18.10,21.89,25.65
8,ws),9.96,14.66,18.61,16.00,20.51,24.19
8,Re],9.75,14.53,18.67,11.76,16.31,20.00
16,0,10.07,14.34,17.54,20.33,24.54,27.08
16,5,9.56,14.37,17.95,37.15,36.18,25.66
16,9,10.02,14.70,18.20,12.01,16.76,19.81
32,0,9.89,15.04,18.00,22.94,26.32,28.72
32,5,10.08,15.11,17.95,20.23,23.76,26.20
32,3,9.59,15.32,18.25,12.75,17.78,20.54
64,0,10.09,15.37,17.99,24.56,28.15,30.00
64,5,9.95,15.18,18.15,21.10,25.18,27.28
64,9,10.26,15.67,18.49,12.98,18.09,20.53
128,0,9.96,15.09,17.59,26.47,29.50,30.94
128,5,10.23,15.07,17.48,23.62,26.82,28.51
128,9,10.11,15.05,18.05,14.34,18.89,21.56
256,0,10.28,15.62,18.37,27.39,30.74,32.46
256,Bs),10.60,16.02,18.44,23.81,28.38,30.31
256,9,10.11,15.48,17.91,14.15,19.43,22.03
512,0,10.12,15.34,17.68,27.64,30.55,32.14
512,iI,10.05,14.96,17.66,24.10,27.40,29.28
$12,9,9.90,15.09,17.53,14.78,19.16,21.49
