,,Option Volatility Smirks and Future Earnings Surprises,,,,
,"In Table 5, data are obtained from CRSP,",,"IBES (for stocks), and OptionMetrics (for options). Our sample period is 1996–",,,
,2005. Variable SKEW is the difference between the implied volatilities of out-of-the-money (OTM) put options (strike-to-,,,,,
stock-price ratio closest,,to 0.95) and at-the-money (ATM) call options (strike-to-stock-price ratio closest,,,,to 1). Variable
"UE is the unexpected earnings,",,the difference between announced earnings and the latest earnings forecast consensus.,,,,
,"Variable SUE is the standardized UE, where UE is divided by volatility of analyst",,,forecasts.,"In Panel A, we sort stocks into",
,"quintiles based on the previous week’s average SKEW. We then check the average future UE/SUE for each portfolio, where",,,,,
,"the ﬁrms have an earnings release within the next n weeks, with n = 4, 8, . . . , 24. In Panel B, we use Fama-MacBeth (FM)",,,,,
,(1973) regression to investigate whether the previous week’s volatility skew is able to predict future UE/SUE within the next,,,,,
"n weeks, with n = 4, 8, . . . , 24. Here *, **, and *** indicate signiﬁcance at 10%, 5%, and 1% levels, respectively.",,,,,,
,Panel A. Earnings Surprises for Firms with Earnings Announcements within the Next n Weeks,,,,,
,,UE,,,SUE,
n,Low SKEW –,,,Low SKEW –,,
Weeks,High SKEW,,t-Stat.,High SKEW,,t-Stat.
4,0.0087,,3.24***,0.3167,,2.63***
8,0.0088,,2.59***,0.3163,,3.01***
12,0.0063,,3.04***,0.3369,,2.88***
16,0.0062,,2.35**,0.3427,,2.43**
20,0.0104,,3.85***,0.4881,,4.40***
24,0.0074,,2.62**,0.3672,,2.10**
,Panel B. Predicting Future Earnings Surprise within Next n Weeks Using the Previous Week’s SKEW (FM Regression),,,,,
,,UE,,,SUE,
n,,,,,,
Weeks,Coeff.,,t-Stat.,Coeff.,,t-Stat.
4,–0.039,,–2.51**,–1.847,,–2.98***
8,–0.045,,–2.78***,–2.023,,–3.57***
12,–0.033,,–3.26***,–2.063,,–3.72***
16,–0.033,,–2.98***,–1.980,,–2.75***
20,–0.053,,–3.43***,–2.681,,–3.66***
24,–0.041,,–2.87***,–2.188,,–2.61***
,"9In a related paper, Amin and Lee (1997) examine trading activities in the 4-day period just before",,,,,
,earnings announcements and document,,that option trading volume is related to price discovery of,,,
earnings news.,,,,,,
