col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,0,22.50,22.92,22.90,23.26,23.34,21.96
8,He,22.98,22.26,23.06,23.42,23.86,22.88
8,9,23.16,22.36,24.24,24.26,23.32,23.34
16,0,10.62,10.06,10.40,10.16,10.42,9.84
16,5,10.38,10.92,10.32,10.54,10.94,10.34
16,9,10.64,10.18,9.62,10.58,10.96,10.64
32,0,10.72,10.28,9.30,9.90,10.00,9.98
32,5,10.56,10.00,10.02,10.40,10.64,10.30
32,9,10.92,10.44,10.30,10.46,9.96,10.70
64,0,9.38,9.54,9.16,9.64,9.24,8.84
64,fe),9.80,10.02,9.66,9.58,8.82,8.78
64,9,9.90,9.24,9.68,9.92,9.78,10.00
128,0,9.94,9.70,9.12,9.82,9.04,8.46
128,5,9.52,10.00,9.32,10.08,9.24,9.20
128,9,9.46,9.64,9.42,9.28,9.22,9.26
