IMPLIED VOLATILITY WITH VAES,,,,,,,,,,,,,,19
,,,,,,,Latent Dimension,,,,,,,
,,,,AUD-USD,,,EUR-USD,,,,CAD-USD,,,
Model,β,3,5,10,15,3,5,10,15,3,5,10,15,
,0.01,3.47,4.11,3.41,3.94,3.19,3.17,3.34,3.16,1.63,1.34,1.12,1.38,
,0.1,3.54,3.47,3.46,4.18,2.90,3.58,3.11,3.12,1.08,1.13,1.08,1.22,
CTMC-CVAE,,,,,,,,,,,,,,
,1,3.99,3.90,3.27,3.49,2.48,2.23,2.55,2.81,1.18,1.06,1.13,0.91,
,10,2.97,3.14,3.26,3.18,1.96,1.89,2.00,1.96,2.00,2.00,1.72,1.96,
,0.01,4.56,5.35,4.82,4.40,3.88,3.63,3.61,3.97,1.54,2.12,1.78,1.63,
,0.1,4.32,5.83,4.54,4.62,3.18,3.29,3.62,2.77,1.81,1.53,1.40,1.34,
CTMC-VAE,,,,,,,,,,,,,,
,1,4.67,4.43,4.13,3.69,3.64,3.94,3.12,3.62,1.72,1.55,1.48,1.70,
,10,6.10,5.92,6.40,5.63,4.00,3.59,3.86,3.90,2.98,2.96,3.17,3.06,
,0.01,6.07,6.16,6.06,6.26,3.55,4.17,4.05,3.65,1.65,1.61,1.62,1.64,
,0.1,6.22,6.34,5.87,5.86,3.94,3.61,3.44,4.04,1.68,1.44,1.59,1.86,
IV-VAE(B),,,,,,,,,,,,,,
,1,6.43,6.55,6.05,5.60,3.88,4.14,4.11,4.08,2.05,1.97,1.83,1.79,
,10,6.23,6.21,6.16,6.11,4.37,4.14,3.88,4.28,1.82,1.76,2.32,1.75,
CTMC-PCA(B),,5.25,5.34,7.15,8.38,2.51,3.00,3.50,6.15,2.22,1.73,2.40,2.76,
Empirical (B),,5.82,5.82,5.82,5.82,3.83,3.83,3.83,3.83,1.67,1.67,1.67,1.67,
