col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,0,9.67,19.33,22.45,16.16,25.26,27.62
8,fo,9.50,19.00,22.07,14.81,24.50,26.99
8,9,9.66,19.51,22.85,11.23,21.28,24.14
16,0,9.62,13.92,14.72,19.94,22.56,23.06
16,5,10.02,13.88,14.96,17.70,21.04,21.26
16,9,10.04,13.82,14.94,11.76,15.68,16.70
32,0,9.96,10.98,VWA2,22.78,22.86,2172
32,AS),9.68,11.46,11.66,19.78,20.32,20.14
32,9,9.86,11.62,11.96,12.42,13.54,13.46
64,0,10.32,11.02,11.04,24.50,22.60,21.58
64,5,9.84,10.56,10.64,21.44,19.48,18.84
64,9,9.58,10.58,10.34,13.38,13.38,13.20
128,0,9.78,10.54,10.44,25.86,22.90,21.54
128,5,10.02,11.04,11.18,22.76,20.26,19.44
128,A],10.76,11.28,11.38,13.44,13.52,12.92
256,0,10.04,9.90,9.58,27.16,23.74,22.70
256,5,10.32,9.92,9.82,24.00,20.50,19.18
256,9,9.92,10.16,10.34,13.38,12.70,12.24
512,0,9.94,10.48,10.56,26.92,23.40,21.78
512,5,9.52,10.56,10.48,23.56,20.52,19.36
512,9,9.80,9.82,9.88,13.96,12.98,12.74
