Table 3,(continued),,,,,
1 3 Volume,Maturity,Moneyness,Mean absolute error,,,
,,,1d,3d,Spline,Spline*
Medium,Long,Center,0.0058,0.0119,0.0033,0.0033
,,Left,0.0085,0.0356,0.0041,0.0040
,,Right,0.0056,0.0232,0.0063,0.0064
,Medium,Center,0.0048,0.0153,0.0032,0.0032
,,Left,0.0084,0.0770,0.0175,0.0169
,,Right,0.0064,0.0462,0.0082,0.0083
,Short,Center,0.0077,0.0579,0.0061,0.0059
,,Left,0.0144,0.1842,0.0606,0.0565
,,Right,0.0114,0.1216,0.0258,0.0242
High,Long,Center,0.0046,0.0136,0.0040,0.0040
,,Left,0.0093,0.0386,0.0034,0.0033
,,Right,0.0053,0.0264,0.0092,0.0095
,Medium,Center,0.0032,0.0164,0.0026,0.0026
,,Left,0.0067,0.0795,0.0063,0.0062
,,Right,0.0045,0.0478,0.0105,0.0108
,Short,Center,0.0051,0.0530,0.0045,0.0045
