Table 4,(continued),,,,,,,,
1 3 Volume,Maturity,Moneyness,,95% Quantile of abs. error,,,,Maximum absolute error,
,,,1d,3d,Spline,Spline*,1d,3d,Spline
High,Long,Center,0.0123,0.0300,0.0107,0.0090,2.7663,5.7096,3.6802
,,Left,0.0521,0.1640,0.0199,0.0172,3.4186,3.8177,6.1317
,,Right,0.0168,0.0908,0.0173,0.0162,3.3366,3.8574,10.7048
,Medium,Center,0.0096,0.0408,0.0085,0.0076,2.1903,17.1366,37465.8025
,,Left,0.0339,0.3653,0.0273,0.0236,3.5311,11.8155,21.8311
,,Right,0.0188,0.1825,0.0165,0.0162,3.4737,16.1318,1402341.6553
,Short,Center,0.0254,0.2359,0.0131,0.0115,1.7837,52.1571,15235.8668
,,Left,0.0510,0.7295,0.2763,0.2539,2.8282,35.9986,2.1062
,,Right,0.0457,0.4531,0.0359,0.0347,1.8318,51.4390,57586.5212
,(b) Interpolation only,,,,,,,,
Low,Long,Center,0.0226,0.0333,0.0147,0.0143,0.7004,3.3005,2.2983
,,Left,0.0524,0.1027,0.0167,0.0162,1.1605,3.1467,0.2746
,,Right,0.0232,0.0983,0.0365,0.0442,1.1689,3.5901,3.4783
,Medium,Center,0.0228,0.0542,0.0141,0.0111,1.6988,9.7269,12.6974
,,Left,0.0530,0.2788,0.8134,0.4260,1.8230,10.8440,1.0972
,,Right,0.0264,0.1808,0.0238,0.0222,1.7168,11.8739,11.0275
,Short,Center,0.0555,0.4700,0.0354,0.0343,1.6666,30.9378,12.7598
