Table 4,(continued),,,,,,,,
Volume,Maturity,Moneyness,,95% Quantile of abs. error,,,,Maximum absolute error,
,,,1d,3d,Spline,Spline*,1d,3d,Spline
Medium,Long,Center,0.0145,0.0283,0.0079,0.0077,2.6279,4.3689,2.5927
,,Left,0.0271,0.1056,0.0095,0.0093,2.9184,3.9338,0.6134
,,Right,0.0138,0.0797,0.0132,0.0129,2.4878,3.8082,5.7743
,Medium,Center,0.0134,0.0403,0.0081,0.0079,2.0474,10.8848,23.5331
,,Left,0.0309,0.2874,0.0864,0.0825,2.0822,12.0208,1.5162
,,Right,0.0154,0.1688,0.0154,0.0154,1.9900,14.4632,23.7381
,Short,Center,0.0288,0.2614,0.0153,0.0145,1.7751,35.7643,18.0704
,,Left,0.0535,0.6600,0.2889,0.2380,1.4222,39.3441,0.6302
,,Right,0.0383,0.4234,0.0364,0.0351,1.6623,49.0625,62.9665
High,Long,Center,0.0120,0.0300,0.0065,0.0063,2.7663,5.7096,3.3716
,,Left,0.0242,0.1235,0.0071,0.0069,3.0287,3.8177,1.3670
,,Right,0.0114,0.0879,0.0129,0.0129,2.2399,3.8574,3.9594
,Medium,Center,0.0093,0.0405,0.0060,0.0060,1.9653,17.1366,9.3230
,,Left,0.0237,0.3057,0.0235,0.0230,2.5214,11.6185,1.1393
,,Right,0.0117,0.1693,0.0122,0.0124,2.4890,16.1318,13.3601
,Short,Center,0.0218,0.2225,0.0096,0.0093,1.5406,52.1571,109.5617
,,Left,0.0370,0.6297,0.2359,0.2322,1.4779,28.9173,0.6684
