col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,0,9.85,12.14,14.10,14.28,15.76,17.21
8,oO,7.02,9.49,11.42,9.61,11.64,13.02
8,9,58,1.26,1.86,67,1.13,1.79
16,0,9.83,12.97,14.85,16.47,18.59,19.78
16,2,7.30,10.11,11.89,11.14,13.55,14.94
16,a,47,-99,1.55,34,.70,1.13
32,0,9.88,12.68,14.34,18.06,19.55,20.35
32,5,6.98,9.50,i.22,21.30,21.00,21.37
32,9,23,55,1.00,.01,.07,23
64,-0,9.71,13.05,14.62,29.84,29.72,29.96
64,a,6.48,9.25,10.62,23.48,23.93,24.15
64,9,16,47,79,02,12,29
128,0,10.30,13.41,14.99,30.34,30.95,31.26
128,5,7.01,10.13,11.64,24.89,25.01,25.16
128,3,-16,50,74,11,44,73
256,0,10.01,13.05,14.65,31.07,31.12,31.24
256,5,7.37,10.31,11.78,25.48,25.45,25.70
256,9,19,51,-80,51,1.13,1.44
512,0,10.22,13.51,"15,25",31.45,32.38,32.60
512,o,7.53,10.16,11.49,26.35,26.92,16.95
512,9,18,50,85,81,1.58,2.06
