Table 3,(continued),,,,,
Volume,Maturity,Moneyness,Mean absolute error,,,
,,,1d,3d,Spline,Spline*
High,Long,Center,0.0049,0.0136,0.0049,0.0047
,,Left,0.0159,0.0476,0.0070,0.0063
,,Right,0.0065,0.0269,0.0098,0.0099
,Medium,Center,0.0033,0.0166,0.0125,0.0129
,,Left,0.0098,0.0937,0.0097,0.0089
,,Right,0.0062,0.0505,0.1289,0.1377
,Short,Center,0.0058,0.0555,0.0555,0.0484
,,Left,0.0128,0.1929,0.0638,0.0567
,,Right,0.0116,0.1238,0.0662,0.0607
(b) Interpolation only,,,,,,
Low,Long,Center,0.0085,0.0152,0.0072,0.0077
,,Left,0.0153,0.0356,0.0059,0.0057
,,Right,0.0082,0.0307,0.0141,0.0161
,Medium,Center,0.0074,0.0179,0.0051,0.0046
,,Left,0.0152,0.0788,0.1034,0.0657
,,Right,0.0089,0.0522,0.0097,0.0100
